,doc_id,filename,law_type,source,description,notes
73,StudentLaw_039,StudentLaw_039.pdf,Student Laws,"Labour Laws (Amendment) Act, 1975 (Act No. XI of 1975)","Amends various labour laws relating to the welfare of workers, updating provisions concerning employment conditions and benefits, and repealing earlier corresponding ordinance to consolidate legislative changes.",Uploaded by user
74,StudentLaw_040,StudentLaw_040.pdf,Student Laws,"Labour Laws (Amendment) Act, 1994 (Act No. XI of 1994)","Amends various labour laws relating to workers compensation, wages, old-age pensions, social security, workers children education, gratuity, and profit-sharing, and repeals the earlier Labour Laws (Amendment) Ordinance, 1993 to consolidate updated provisions affecting workers welfare.",Uploaded by user
75,StudentLaw_041,StudentLaw_041.pdf,Student Laws,"West Pakistan Government Educational and Training Institution Ordinance, 1960 (Ordinance No. XI of 1960)","Provides for the establishment of Boards of Governors for government educational and training institutions in West Pakistan, outlining their structure and functions to ensure efficient management, control, and administration of such institutions.",Uploaded by user
76,StudentLaw_042,StudentLaw_042.pdf,Student Laws,"West Pakistan Registration of Unrecognized Educational Institutions Ordinance, 1962 (Ordinance No. XI of 1962)","Provides for the registration and regulation of unrecognized private educational institutions in West Pakistan, establishing a framework to supervise their functioning and ensure compliance with prescribed standards.",Uploaded by user
77,StudentLaw_043,StudentLaw_043.pdf,Student Laws,"Labour Laws (Amendment) Ordinance, 1974 (Ordinance No. XII of 1974)","Amends various labour laws relating to the welfare of workers, including changes to provisions in the Workmens Compensation Act, 1923 and related legislation, to improve legal protections and streamline adjudication mechanisms.",Uploaded by user
78,StudentLaw_044,StudentLaw_044.pdf,Student Laws,"Federal Board of Intermediate and Secondary Education (Amendment) Act, 2017 (Act No. XIII of 2017)","Amends the Federal Board of Intermediate and Secondary Education Act, 1975, updating provisions related to the governance and functioning of the federal education board to improve administrative efficiency and regulatory oversight.",Uploaded by user
79,StudentLaw_045,StudentLaw_045.pdf,Student Laws,"West Pakistan (Board of Intermediate and Secondary Education, Hyderabad) (Amendment) Act, 1964 (Act No. XIII of 1964)","Amends the West Pakistan (Board of Intermediate and Secondary Education, Hyderabad) Ordinance, 1961 by revising provisions related to school recognition and administrative oversight, particularly involving divisional educational authorities.",Uploaded by user
80,StudentLaw_046,StudentLaw_046.pdf,Student Laws,"Karachi Secondary Education (Amendment) Act, 1950 (Act No. XLIX of 1950)","Amends the Karachi Secondary Education Act, 1950 by revising provisions related to the recognition and constitution of secondary schools, including specific clarification regarding girls schools and their recognition for matriculation examinations.",Uploaded by user
81,StudentLaw_047,StudentLaw_047.pdf,Student Laws,"Karachi Secondary Education Act, 1950 (Act No. XVI of 1950)","Provides for the establishment of a Board of Secondary Education in Karachi, outlining its structure, powers, and functions for the regulation, organization, development, and control of secondary education in the federal capital.",Uploaded by user
82,StudentLaw_048,StudentLaw_048.pdf,Student Laws,"Pakistan International Airlines Corporation (Amendment) Act, 1985 (Act No. XV of 1985)","Amends the Pakistan International Airlines Corporation Act, 1956 by expanding provisions related to ownership and control, including entities associated with the Federal Government and financial institutions, to clarify governance and operational oversight.",Uploaded by user
83,StudentLaw_049,StudentLaw_049.pdf,Student Laws,"West Pakistan (Board of Intermediate and Secondary Education, Hyderabad) Ordinance, 1961 (Ordinance No. XVII of 1961)","Provides for the establishment of the Board of Intermediate and Secondary Education at Hyderabad, defining its structure, functions, and key terms to regulate and oversee intermediate and secondary education within its jurisdiction.",Uploaded by user
84,StudentLaw_050,StudentLaw_050.pdf,Student Laws,"Karachi Secondary Education (Amendment) Act, 1953 (Act No. XXII of 1953)","Amends the Karachi Secondary Education Act, 1950 by modifying provisions related to its implementation, including retrospective effect and specific textual changes to improve administrative clarity in secondary education governance.",Uploaded by user
85,StudentLaw_051,StudentLaw_051.pdf,Student Laws,"Federal Board of Intermediate and Secondary Education (Amendment) Act, 2025 (Act No. XXII of 2025)","Amends the Federal Board of Intermediate and Secondary Education Act, 1975, updating provisions related to the governance and functioning of the federal education board to improve regulatory oversight and administrative efficiency.",Uploaded by user
86,StudentLaw_052,StudentLaw_052.pdf,Student Laws,"Labour Laws (Amendment) Ordinance, 1993 (Ordinance No. XXIII of 1993)","Amends multiple labour laws relating to workers compensation, wages, old-age pensions, social security, workers children education, gratuity, and profit-sharing, updating legal provisions governing workers welfare and employment benefits in Pakistan.",Uploaded by user
87,StudentLaw_053,StudentLaw_053.pdf,Student Laws,"Workers Children (Education) (Amendment) Act, 1973 (Act No. XXIV of 1973)","Amends the Workers Children (Education) Ordinance, 1972 by redefining key terms such as establishment and revising provisions related to the levy and collection of education cess from employers to support educational initiatives for workers children.",Uploaded by user
88,StudentLaw_054,StudentLaw_054.pdf,Student Laws,"West Pakistan Primary Education Ordinance, 1962 (Ordinance No. XXIX of 1962)","Provides a consolidated legal framework for primary education in West Pakistan, including provisions for compulsory education, definitions of key terms, and the administrative structure for implementation across districts and special areas.",Uploaded by user
89,StudentLaw_055,StudentLaw_055.pdf,Student Laws,"Sind Education Cess (West Pakistan Repeal) Ordinance, 1962 (Ordinance No. XXVI of 1962)","Repeals earlier laws relating to the Sind Muslim Education Cess, including the 1946 Act and subsequent amendments, thereby abolishing the education cess framework and related levies in West Pakistan.",Uploaded by user
90,StudentLaw_056,StudentLaw_056.pdf,Student Laws,"Labour Laws (Amendment) Ordinance, 1994 (Ordinance No. XXXIII of 1994)","Amends various labour-related laws concerning workers compensation, wages, old-age pensions, social security, workers children education, gratuity, and profit-sharing in companies, updating and consolidating provisions affecting workers rights and benefits across Pakistan.",Uploaded by user
91,StudentLaw_057,StudentLaw_057.pdf,Student Laws,"West Pakistan Board of Technical Education Ordinance, 1962 (Ordinance No. XXXIX of 1962)","Provides for the constitution and organization of the West Pakistan Board of Technical Education, establishing a regulatory framework for technical education institutions and certification systems, including governance structure and operational definitions.",Uploaded by user
92,StudentLaw_058,StudentLaw_058.pdf,Student Laws,"West Pakistan Universities and Boards of Education (Amendment) Ordinance, 1965 (Ordinance No. XXXVI of 1965)","Amends the legal framework governing universities and Boards of Intermediate and Secondary Education in West Pakistan, particularly modifying provisions related to their establishment and administrative control to address emerging educational needs.",Uploaded by user
93,StudentLaw_059,StudentLaw_059.pdf,Student Laws,"Workers Children (Education) Ordinance, 1972 (Ordinance No. XI of 1972)","Provides for the education of workers children by imposing an education cess on employers, establishing mechanisms for its collection and administration, and ensuring provision of free education and related benefits to eligible children of workers.",Uploaded by user
94,StudentLaw_060,StudentLaw_060.pdf,Student Laws,"Islamabad Capital Territory Private Educational Institutions (Registration and Regulation) Act, 2013 (Act No. XI of 2013)","Enacts a comprehensive legal framework for the registration, regulation, and functioning of private educational institutions in the Islamabad Capital Territory, reinforcing standards of transparency, discipline, and quality in the education sector.",Uploaded by user
95,WorkplaceHarassmentLaw_001,WorkplaceHarassmentLaw_001.pdf,Workplace Harassment Laws,"Protection against Harassment of Women at the Workplace Act, 2010 (Act No. IV of 2010)","Provides legal protection to women against harassment at the workplace by defining harassment, establishing complaint mechanisms, prescribing penalties, and ensuring safe and dignified working environments in accordance with constitutional rights.",Uploaded by user
